codigo_ibge;uf;nome_municipio;codigo_servico;incidencia;aliquota;dt_ini;dt_fim
2800308;SE;Aracaju;11.02.01.000;11.02.01.000;5;2023-10-25T00:00:00;2023-10-26T00:00:00
2800308;SE;Aracaju;11.02.01.000;11.02.01.000;5;2023-10-27T00:00:00;
2800308;SE;Aracaju;11.03.01.000;11.03.01.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.03.01.000;11.03.01.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.03.01.000;11.03.01.000;5;2023-10-23T00:00:00;2025-10-24T00:00:00
2800308;SE;Aracaju;11.03.01.000;11.03.01.000;5;2025-10-25T00:00:00;
2800308;SE;Aracaju;11.04.01.000;11.04.01.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.04.01.000;11.04.01.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.04.01.000;11.04.01.000;5;2023-10-23T00:00:00;2023-10-24T00:00:00
2800308;SE;Aracaju;11.04.01.000;11.04.01.000;5;2023-10-25T00:00:00;2023-10-26T00:00:00
2800308;SE;Aracaju;11.04.01.000;11.04.01.000;5;2023-10-27T00:00:00;
2800308;SE;Aracaju;11.04.02.000;11.04.02.000;5;2023-10-20T00:00:00;2023-10-20T00:00:00
2800308;SE;Aracaju;11.04.02.000;11.04.02.000;5;2023-10-21T00:00:00;2023-10-22T00:00:00
2800308;SE;Aracaju;11.04.02.000;11.04.02.000;5;2023-10-23T00:00:00;2023-10-24T00:00:00
2800308;SE;Aracaju;11.04.02.000;11.04.02.000;5;2023-10-25T00:00:00;2023-10-26T00:00:00
2800308;SE;Aracaju;11.04.02.000;11.04.02.000;5;2023-10-27T00:00:00;
2800308;SE;Aracaju;12.01.01.000;12.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.02.01.000;12.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.03.01.000;12.03.01.000;5;2023-10-20T00:00:00;
